input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,min_selected,max_selected,fairness,min_fairness,max_fairness,fraction_opt,min_fraction_opt,max_fraction_opt,inverse_ratio,min_inverse_ratio,max_inverse_ratio,delta,opt_by_group,selected_by_group,num_levels
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_greedy,deterministic,1,11309,11309,11309,3.1045548654244306,3.1045548654244306,3.1045548654244306,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 5215, ""2"": 5290, ""3"": 2999}","{""1"": 5097, ""2"": 5246, ""3"": 966}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_3groups.csv,3,1.0,3,offline_deterministic,deterministic,1,11092,11092,11092,2.704238052299369,2.704238052299369,2.704238052299369,0.9808117428596693,0.9808117428596693,0.9808117428596693,1.0195636494771005,1.0195636494771005,1.0195636494771005,62643.0,"{""1"": 5215, ""2"": 5290, ""3"": 2999}","{""1"": 5123, ""2"": 4860, ""3"": 1109}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_randomized,randomized,1000,10503.88,8793,11309,1.9215244050898932,1.1666269704748549,1.9215244050898932,0.9288071447519675,0.7775223273498983,1.0,1.076649771322597,1.0,1.2861366996474468,62643.0,"{""1"": 5215, ""2"": 5290, ""3"": 2999}","{""1"": 4408.7, ""2"": 4534.44, ""3"": 1560.74}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_3groups.csv,3,,,online_randomized_fair,randomized,1000,329.268,0,1344,45.72208921425423,31.640695061350662,45.72208921425423,0.029115571668582543,0.0,0.11884339906269344,34.34588238152508,8.414434523809524,inf,62643.0,"{""1"": 5215, ""2"": 5290, ""3"": 2999}","{""1"": 118.786, ""2"": 115.699, ""3"": 94.783}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_3groups.csv,3,,,crs,randomized,1000,942.623,9,2934,15.726589546567594,11.231200191743063,15.726589546567594,0.0833515783888938,0.0007958263330091078,0.25943938456096916,11.997373287093566,3.854464894342195,1256.5555555555557,62643.0,"{""1"": 5215, ""2"": 5290, ""3"": 2999}","{""1"": 331.604, ""2"": 343.995, ""3"": 267.024}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_greedy,deterministic,1,11309,11309,11309,18.353448275862068,18.353448275862068,18.353448275862068,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 3873, ""2"": 4007, ""3"": 3872, ""4"": 2129}","{""1"": 3789, ""2"": 3950, ""3"": 3454, ""4"": 116}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_4groups.csv,4,1.0,4,offline_deterministic,deterministic,1,10661,10661,10661,3.620748299319728,3.620748299319728,3.620748299319728,0.9427005040233443,0.9427005040233443,0.9427005040233443,1.060782290591877,1.060782290591877,1.060782290591877,62643.0,"{""1"": 3873, ""2"": 4007, ""3"": 3872, ""4"": 2129}","{""1"": 3799, ""2"": 3281, ""3"": 2993, ""4"": 588}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_randomized,randomized,1000,10558.514,8370,11309,3.635928920919827,1.1274201408388884,3.635928920919827,0.9336381642939252,0.7401184896984703,1.0,1.0710787521804679,1.0,1.3511350059737157,62643.0,"{""1"": 3873, ""2"": 4007, ""3"": 3872, ""4"": 2129}","{""1"": 3259.389, ""2"": 3554.132, ""3"": 3159.448, ""4"": 585.545}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_4groups.csv,4,,,online_randomized_fair,randomized,1000,237.742,0,1108,68.74511753426603,41.12579199505486,68.74511753426603,0.02102237156247237,0.0,0.09797506410823238,47.56837243734805,10.20667870036101,inf,62643.0,"{""1"": 3873, ""2"": 4007, ""3"": 3872, ""4"": 2129}","{""1"": 67.652, ""2"": 61.998, ""3"": 56.324, ""4"": 51.768}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_4groups.csv,4,,,crs,randomized,1000,942.623,9,2934,15.7900317268716,11.010037803370757,15.7900317268716,0.0833515783888938,0.0007958263330091078,0.25943938456096916,11.997373287093566,3.854464894342195,1256.5555555555557,62643.0,"{""1"": 3873, ""2"": 4007, ""3"": 3872, ""4"": 2129}","{""1"": 246.128, ""2"": 257.908, ""3"": 245.218, ""4"": 193.369}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_5groups.csv,5,,,offline_greedy,deterministic,1,11309,11309,11309,39.142857142857146,39.142857142857146,39.142857142857146,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 3054, ""2"": 3249, ""3"": 3158, ""4"": 3067, ""5"": 1644}","{""1"": 2981, ""2"": 3198, ""3"": 3127, ""4"": 1961, ""5"": 42}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_5groups.csv,5,1.0,5,offline_deterministic,deterministic,1,10839,10839,10839,4.7514450867052025,4.7514450867052025,4.7514450867052025,0.9584401803873022,0.9584401803873022,0.9584401803873022,1.0433619337577267,1.0433619337577267,1.0433619337577267,62643.0,"{""1"": 3054, ""2"": 3249, ""3"": 3158, ""4"": 3067, ""5"": 1644}","{""1"": 2986, ""2"": 3201, ""3"": 2521, ""4"": 1785, ""5"": 346}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_5groups.csv,5,,,offline_randomized,randomized,1000,10489.682,7519,11309,4.657580041532921,1.1483435925482028,4.657580041532921,0.9275516844990715,0.6648686886550536,1.0,1.0781070388978427,1.0,1.504056390477457,62643.0,"{""1"": 3054, ""2"": 3249, ""3"": 3158, ""4"": 3067, ""5"": 1644}","{""1"": 2623.105, ""2"": 2781.674, ""3"": 2750.048, ""4"": 1981.882, ""5"": 352.973}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized_fair,randomized,1000,195.962,0,897,85.9413269471507,50.09904007313729,85.9413269471507,0.017327968874347864,0.0,0.07931735785657441,57.71016829793532,12.60758082497213,inf,62643.0,"{""1"": 3054, ""2"": 3249, ""3"": 3158, ""4"": 3067, ""5"": 1644}","{""1"": 39.869, ""2"": 42.843, ""3"": 36.746, ""4"": 43.689, ""5"": 32.815}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_5groups.csv,5,,,crs,randomized,1000,942.623,9,2934,16.492794149279415,10.932086738527625,16.492794149279415,0.0833515783888938,0.0007958263330091078,0.25943938456096916,11.997373287093566,3.854464894342195,1256.5555555555557,62643.0,"{""1"": 3054, ""2"": 3249, ""3"": 3158, ""4"": 3067, ""5"": 1644}","{""1"": 192.72, ""2"": 208.651, ""3"": 204.909, ""4"": 185.96, ""5"": 150.383}",16
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_greedy,deterministic,1,11309,11309,11309,93.85714285714286,93.85714285714286,93.85714285714286,1.0,1.0,1.0,1.0,1.0,1.0,62643.0,"{""1"": 2647, ""2"": 2568, ""3"": 2665, ""4"": 2625, ""5"": 2380, ""6"": 1314}","{""1"": 2616, ""2"": 2481, ""3"": 2642, ""4"": 2604, ""5"": 952, ""6"": 14}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_6groups.csv,6,1.0,6,offline_deterministic,deterministic,1,10577,10577,10577,6.0,6.0,6.0,0.9352727915819259,0.9352727915819259,0.9352727915819259,1.0692067694053133,1.0692067694053133,1.0692067694053133,62643.0,"{""1"": 2647, ""2"": 2568, ""3"": 2665, ""4"": 2625, ""5"": 2380, ""6"": 1314}","{""1"": 2620, ""2"": 2523, ""3"": 1702, ""4"": 2607, ""5"": 906, ""6"": 219}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\NASA-iPSC-1993\NASA-iPSC-1993-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_randomized,randomized,1000,10600.216,7058,11309,6.5049504950495045,1.11808226529856,6.5049504950495045,0.9373256698204969,0.6241046953753647,1.0,1.0668650525611931,1.0,1.6022952677812412,62643.0,"{""1"": 2647, ""2"": 2568, ""3"": 2665, ""4"": 2625, ""5"": 2380, ""6"": 1314}","{""1"": 2327.388, ""2"": 2248.998, ""3"": 2370.816, ""4"": 2347.77, ""5"": 1103.244, ""6"": 202}",
