input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,min_selected,max_selected,fairness,min_fairness,max_fairness,fraction_opt,min_fraction_opt,max_fraction_opt,inverse_ratio,min_inverse_ratio,max_inverse_ratio,delta,opt_by_group,selected_by_group,num_levels
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_greedy,deterministic,1,20905,20905,20905,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 17426, ""2"": 8514, ""3"": 1603}","{""1"": 17349, ""2"": 3556, ""3"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,1.0,3,offline_deterministic,deterministic,1,16727,16727,16727,3.00187265917603,3.00187265917603,3.00187265917603,0.8001435063381966,0.8001435063381966,0.8001435063381966,1.2497758115621451,1.2497758115621451,1.2497758115621451,71998.0,"{""1"": 17426, ""2"": 8514, ""3"": 1603}","{""1"": 12683, ""2"": 3510, ""3"": 534}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,offline_randomized,randomized,1000,15501.9,8432,20905,3.125,1.6447458458982815,3.125,0.7415403013633102,0.40334848122458744,1.0,1.3485443719802088,1.0,2.4792457305502844,71998.0,"{""1"": 17426, ""2"": 8514, ""3"": 1603}","{""1"": 10594.95, ""2"": 4393.99, ""3"": 512.96}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,online_randomized_fair,randomized,1000,662.373,0,5858,51.77895443713489,21.702340820167066,51.77895443713489,0.03168490791676632,0.0,0.28022004305190146,31.560767120640485,3.5686241037896895,inf,71998.0,"{""1"": 17426, ""2"": 8514, ""3"": 1603}","{""1"": 336.546, ""2"": 251.964, ""3"": 73.863}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_3groups.csv,3,,,crs,randomized,1000,1889.251,12,7044,17.296295083171298,8.436042901198833,17.296295083171298,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 17426, ""2"": 8514, ""3"": 1603}","{""1"": 1007.499, ""2"": 691.734, ""3"": 190.018}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_greedy,deterministic,1,20905,20905,20905,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 13134, ""2"": 10833, ""3"": 3950, ""4"": 997}","{""1"": 13078, ""2"": 7822, ""3"": 5, ""4"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,1.0,4,offline_deterministic,deterministic,1,15653,15653,15653,4.004016064257028,4.004016064257028,4.004016064257028,0.7487682372638125,0.7487682372638125,0.7487682372638125,1.3355267360889287,1.3355267360889287,1.3355267360889287,71998.0,"{""1"": 13134, ""2"": 10833, ""3"": 3950, ""4"": 997}","{""1"": 8727, ""2"": 5688, ""3"": 989, ""4"": 249}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,offline_randomized,randomized,1000,15120.717,6739,20905,4.016064257028113,1.6727385266681059,4.016064257028113,0.7233062425257115,0.3223630710356374,1.0,1.3825402591689269,1.0,3.1020922985606174,71998.0,"{""1"": 13134, ""2"": 10833, ""3"": 3950, ""4"": 997}","{""1"": 7851.795, ""2"": 6036.075, ""3"": 984.594, ""4"": 248.253}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,online_randomized_fair,randomized,1000,545.481,0,4459,61.197512103357305,28.581257345985147,61.197512103357305,0.026093326955273857,0.0,0.2132982540062186,38.323974620564236,4.688270912760709,inf,71998.0,"{""1"": 13134, ""2"": 10833, ""3"": 3950, ""4"": 997}","{""1"": 229.065, ""2"": 177.017, ""3"": 104.516, ""4"": 34.883}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_4groups.csv,4,,,crs,randomized,1000,1889.251,12,7044,17.28253403477561,9.570250631137391,17.28253403477561,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 13134, ""2"": 10833, ""3"": 3950, ""4"": 997}","{""1"": 759.958, ""2"": 652.341, ""3"": 372.775, ""4"": 104.177}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,offline_greedy,deterministic,1,20905,20905,20905,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 10706, ""2"": 9982, ""3"": 6053, ""4"": 2367, ""5"": 762}","{""1"": 10656, ""2"": 9941, ""3"": 308, ""4"": 0, ""5"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,1.0,5,offline_deterministic,deterministic,1,15553,15553,15553,5.0131578947368425,5.0131578947368425,5.0131578947368425,0.7439846926572591,0.7439846926572591,0.7439846926572591,1.3441136758181702,1.3441136758181702,1.3441136758181702,71998.0,"{""1"": 10706, ""2"": 9982, ""3"": 6053, ""4"": 2367, ""5"": 762}","{""1"": 8741, ""2"": 4861, ""3"": 1326, ""4"": 473, ""5"": 152}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,offline_randomized,randomized,1000,14949.405,5836,20905,4.975124378109452,1.5779196215775053,4.975124378109452,0.7151114565893327,0.2791676632384597,1.0,1.398383413921825,1.0,3.582076764907471,71998.0,"{""1"": 10706, ""2"": 9982, ""3"": 6053, ""4"": 2367, ""5"": 762}","{""1"": 6699.155, ""2"": 6326.051, ""3"": 1288.169, ""4"": 482.868, ""5"": 153.162}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized_fair,randomized,1000,399.346,0,3645,91.20062859178994,39.630981482101596,91.20062859178994,0.019102894044486965,0.0,0.17436020090887347,52.348089125720556,5.735253772290809,inf,71998.0,"{""1"": 10706, ""2"": 9982, ""3"": 6053, ""4"": 2367, ""5"": 762}","{""1"": 122.031, ""2"": 109.451, ""3"": 91.239, ""4"": 59.726, ""5"": 16.899}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,crs,randomized,1000,1889.251,12,7044,17.48357083806241,10.77913029222509,17.48357083806241,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 10706, ""2"": 9982, ""3"": 6053, ""4"": 2367, ""5"": 762}","{""1"": 619.697, ""2"": 570.936, ""3"": 408.391, ""4"": 219.591, ""5"": 70.636}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_greedy,deterministic,1,20905,20905,20905,inf,inf,inf,1.0,1.0,1.0,1.0,1.0,1.0,71998.0,"{""1"": 8882, ""2"": 8544, ""3"": 7366, ""4"": 3863, ""5"": 1598, ""6"": 628}","{""1"": 8838, ""2"": 8511, ""3"": 3551, ""4"": 5, ""5"": 0, ""6"": 0}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,1.0,6,offline_deterministic,deterministic,1,15215,15215,15215,6.038461538461538,6.038461538461538,6.038461538461538,0.7278163118871084,0.7278163118871084,0.7278163118871084,1.373973052908314,1.373973052908314,1.373973052908314,71998.0,"{""1"": 8882, ""2"": 8544, ""3"": 7366, ""4"": 3863, ""5"": 1598, ""6"": 628}","{""1"": 6313, ""2"": 4724, ""3"": 3162, ""4"": 645, ""5"": 267, ""6"": 104}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_randomized,randomized,1000,15138.624,5691,20905,6.756756756756756,1.555055404308945,6.756756756756756,0.7241628318584071,0.2722315235589572,1.0,1.3809048959799781,1.0,3.6733438762959056,71998.0,"{""1"": 8882, ""2"": 8544, ""3"": 7366, ""4"": 3863, ""5"": 1598, ""6"": 628}","{""1"": 5553.92, ""2"": 5494.338, ""3"": 3064.764, ""4"": 657.802, ""5"": 274.856, ""6"": 92.944}",
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,online_randomized_fair,randomized,1000,341.999,0,3056,105.60533959582226,52.51051524710831,105.60533959582226,0.016359674718966755,0.0,0.1461851231762736,61.125909724882234,6.840641361256544,inf,71998.0,"{""1"": 8882, ""2"": 8544, ""3"": 7366, ""4"": 3863, ""5"": 1598, ""6"": 628}","{""1"": 87.799, ""2"": 80.905, ""3"": 74.576, ""4"": 57.478, ""5"": 30.432, ""6"": 10.809}",17
C:\Users\zwhsh\OneDrive\Desktop\Fair\interval-fairness\temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,crs,randomized,1000,1889.251,12,7044,18.19664031620553,11.54645240765596,18.19664031620553,0.09037316431475724,0.0005740253527864147,0.33695288208562546,11.065231671175509,2.9677739920499717,1742.0833333333333,71998.0,"{""1"": 8882, ""2"": 8544, ""3"": 7366, ""4"": 3863, ""5"": 1598, ""6"": 628}","{""1"": 513.4, ""2"": 494.099, ""3"": 404.8, ""4"": 286.934, ""5"": 135.629, ""6"": 54.389}",17
