workload,assignment_method,k,algorithm,algorithm_label,num_instances,mean_selected,mean_fairness,mean_fraction_opt,mean_inverse_ratio
CTC-SP2-1996,exponential,10,offline_randomized,Offline Randomized,5,18953.628,0.31249138891033484,0.9066552499402056,1.10295835658423
CTC-SP2-1996,exponential,10,online_randomized,Online Randomized,5,389.176,0.0038094365087734624,0.018616407558000477,53.71611648311563
CTC-SP2-1996,exponential,10,simple_online_greedy,Simple Online Greedy,5,2538.0,0.029547711269304822,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,2,offline_deterministic,Offline Deterministic,5,20140.4,0.7708401428311588,0.9634250179382923,1.0379639707200083
CTC-SP2-1996,uniform,2,offline_greedy,Offline Greedy,5,20905.0,0.8005801247468161,1.0,1.0
CTC-SP2-1996,uniform,2,offline_randomized,Offline Randomized,5,20134.43,0.7503017095146197,0.9631394403252811,1.0382718999001659
CTC-SP2-1996,uniform,2,online_randomized,Online Randomized,5,1306.912,0.03975971161291867,0.0625167184883999,15.995730159272705
CTC-SP2-1996,uniform,2,simple_online_greedy,Simple Online Greedy,5,2538.0,0.09609418647756364,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,3,offline_deterministic,Offline Deterministic,5,19757.0,0.6677814526377663,0.9450849079167664,1.0581118207940352
CTC-SP2-1996,uniform,3,offline_greedy,Offline Greedy,5,20905.0,0.7082973925763244,1.0,1.0
CTC-SP2-1996,uniform,3,offline_randomized,Offline Randomized,5,19743.964,0.6394301785560955,0.944461325041856,1.0588075017213143
CTC-SP2-1996,uniform,3,online_randomized,Online Randomized,5,1064.22,0.031184604666631182,0.05090743841186319,19.64353498617541
CTC-SP2-1996,uniform,3,simple_online_greedy,Simple Online Greedy,5,2538.0,0.08405078933954985,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,4,offline_deterministic,Offline Deterministic,5,19533.0,0.60783234077018,0.9343697679980866,1.0702523630295155
CTC-SP2-1996,uniform,4,offline_greedy,Offline Greedy,5,20905.0,0.6505007834692619,1.0,1.0
CTC-SP2-1996,uniform,4,offline_randomized,Offline Randomized,5,19512.912,0.5966406036840655,0.9334088495575221,1.0713430189060573
CTC-SP2-1996,uniform,4,online_randomized,Online Randomized,5,766.9879999999999,0.015872896522741424,0.03668921310691222,27.256036045956847
CTC-SP2-1996,uniform,4,simple_online_greedy,Simple Online Greedy,5,2538.0,0.0767350766845996,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,5,offline_deterministic,Offline Deterministic,5,19413.4,0.5689383877898404,0.9286486486486486,1.0768415753748821
CTC-SP2-1996,uniform,5,offline_greedy,Offline Greedy,5,20905.0,0.6099385682599585,1.0,1.0
CTC-SP2-1996,uniform,5,offline_randomized,Offline Randomized,5,19327.78,0.5624448160579852,0.9245529777565176,1.0816053548163793
CTC-SP2-1996,uniform,5,online_randomized,Online Randomized,5,701.686,0.015516699134895907,0.033565462807940684,29.792558433581064
CTC-SP2-1996,uniform,5,simple_online_greedy,Simple Online Greedy,5,2538.0,0.0723493773346204,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,6,offline_deterministic,Offline Deterministic,5,19270.2,0.5346769547614028,0.9217986127720641,1.0848464371203717
CTC-SP2-1996,uniform,6,offline_greedy,Offline Greedy,5,20905.0,0.5821455003741326,1.0,1.0
CTC-SP2-1996,uniform,6,offline_randomized,Offline Randomized,5,19224.75,0.4988875538897577,0.9196244917483856,1.0874018061707147
CTC-SP2-1996,uniform,6,online_randomized,Online Randomized,5,610.812,0.00791420713533223,0.029218464482181294,34.225338698231276
CTC-SP2-1996,uniform,6,simple_online_greedy,Simple Online Greedy,5,2538.0,0.06770431918769138,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,7,offline_deterministic,Offline Deterministic,5,19170.6,0.5123196569614673,0.9170342023439368,1.0904969575701557
CTC-SP2-1996,uniform,7,offline_greedy,Offline Greedy,5,20905.0,0.5573457130760915,1.0,1.0
CTC-SP2-1996,uniform,7,offline_randomized,Offline Randomized,5,19103.74,0.48411116564380285,0.9138359244199952,1.0942892562026416
CTC-SP2-1996,uniform,7,online_randomized,Online Randomized,5,561.642,0.006751945494889027,0.026866395599138962,37.221602894811575
CTC-SP2-1996,uniform,7,simple_online_greedy,Simple Online Greedy,5,2538.0,0.06345329656973245,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,8,offline_deterministic,Offline Deterministic,5,19093.4,0.49353993607345265,0.9133413059076776,1.0949124172265778
CTC-SP2-1996,uniform,8,offline_greedy,Offline Greedy,5,20905.0,0.5382569559897875,1.0,1.0
CTC-SP2-1996,uniform,8,offline_randomized,Offline Randomized,5,19024.708,0.47815398503258105,0.9100553934465438,1.0988358506883673
CTC-SP2-1996,uniform,8,online_randomized,Online Randomized,5,437.592,0.0042131451702038655,0.0209324085147094,47.773842063110855
CTC-SP2-1996,uniform,8,simple_online_greedy,Simple Online Greedy,5,2538.0,0.06192978314777386,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,9,offline_deterministic,Offline Deterministic,5,19101.4,0.47890124579904725,0.9137239894762019,1.0944437790659263
CTC-SP2-1996,uniform,9,offline_greedy,Offline Greedy,5,20905.0,0.5257064299270897,1.0,1.0
CTC-SP2-1996,uniform,9,offline_randomized,Offline Randomized,5,18972.822,0.46376787394799535,0.9075734034919876,1.1018398117966555
CTC-SP2-1996,uniform,9,online_randomized,Online Randomized,5,407.31600000000003,0.0041824796677944415,0.019484142549629276,51.32407426092822
CTC-SP2-1996,uniform,9,simple_online_greedy,Simple Online Greedy,5,2538.0,0.05994982975264665,0.12140636211432672,8.236800630417651
CTC-SP2-1996,uniform,10,offline_deterministic,Offline Deterministic,5,18966.6,0.46304970639490195,0.9072757713465678,1.1022181437235472
CTC-SP2-1996,uniform,10,offline_greedy,Offline Greedy,5,20905.0,0.5051857566051647,1.0,1.0
CTC-SP2-1996,uniform,10,offline_randomized,Offline Randomized,5,18889.038,0.44682092631350967,0.9035655584788328,1.1067269419076609
CTC-SP2-1996,uniform,10,online_randomized,Online Randomized,5,391.798,0.004168291246837832,0.01874183209758431,53.356883289650625
CTC-SP2-1996,uniform,10,simple_online_greedy,Simple Online Greedy,5,2538.0,0.057577737330970206,0.12140636211432672,8.236800630417651
LANL-CM5-1994,exponential,2,offline_deterministic,Offline Deterministic,5,56778.6,0.8170991781066247,0.9602333840690005,1.0414147797774331
LANL-CM5-1994,exponential,2,offline_greedy,Offline Greedy,5,59130.0,0.8180942246236715,1.0,1.0
LANL-CM5-1994,exponential,2,offline_randomized,Offline Randomized,5,56821.93,0.791916712677895,0.960966176221884,1.0406201396078631
