workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,min_selected,max_selected,ci95_selected,mean_fairness,min_fairness,max_fairness,ci95_fairness,mean_fraction_opt,min_fraction_opt,max_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,min_inverse_ratio,max_inverse_ratio,ci95_inverse_ratio,mean_delta,min_delta,max_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
SDSC-SP2-1998,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,25479.0,25479.0,25479.0,0.0,1.7932307692307692,1.7932307692307692,1.7932307692307692,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,offline_greedy,Global OPT,offline,1,25479.0,25479.0,25479.0,0.0,1.7848101265822784,1.7848101265822784,1.7848101265822784,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,22873.962,22873.962,22873.962,0.0,1.286868290752743,1.286868290752743,1.286868290752743,nan,0.897757447309549,0.897757447309549,0.897757447309549,0.0,1.1138866104612748,1.1138866104612748,1.1138866104612748,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,online_randomized,Online Randomized,online,1,951.287,951.287,951.287,0.0,35.36658159064712,35.36658159064712,35.36658159064712,nan,0.03733611994191295,0.03733611994191295,0.03733611994191295,0.0,26.783715114366117,26.783715114366117,26.783715114366117,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,online_randomized_level_greedy,CRS,online,1,1759.241,1759.241,1759.241,0.0,19.404346144399053,19.404346144399053,19.404346144399053,nan,0.06904670512971467,0.06904670512971467,0.06904670512971467,0.0,14.482950317779087,14.482950317779087,14.482950317779087,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,simple_online_greedy,Simple Online Greedy,online,1,6807.0,6807.0,6807.0,0.0,5.5131016042780745,5.5131016042780745,5.5131016042780745,0.0,0.26716119156952783,0.26716119156952783,0.26716119156952783,0.0,3.7430586161304538,3.7430586161304538,3.7430586161304538,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,22063.0,22063.0,22063.0,0.0,2.9881889763779528,2.9881889763779528,2.9881889763779528,0.0,0.8659288041131913,0.8659288041131913,0.8659288041131913,0.0,1.154829352309296,1.154829352309296,1.154829352309296,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,offline_greedy,Global OPT,offline,1,25479.0,25479.0,25479.0,0.0,271.07142857142856,271.07142857142856,271.07142857142856,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,22734.53,22734.53,22734.53,0.0,3.11428055605705,3.11428055605705,3.11428055605705,nan,0.8922850190352839,0.8922850190352839,0.8922850190352839,0.0,1.1207181322859985,1.1207181322859985,1.1207181322859985,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,online_randomized,Online Randomized,online,1,656.538,656.538,656.538,0.0,51.27877237851663,51.27877237851663,51.27877237851663,nan,0.025767808783704226,0.025767808783704226,0.025767808783704226,0.0,38.80811164014878,38.80811164014878,38.80811164014878,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
