workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,ci95_selected,mean_fairness,ci95_fairness,mean_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,ci95_inverse_ratio,mean_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
CTC-SP2-1996,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,17457.0,0.0,1.999494438827098,0.0,0.8350633819660368,0.0,1.197513891275706,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,2,offline_greedy,Global OPT,offline,1,20905.0,0.0,791.0,0.0,1.0,0.0,1.0,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,17267.2,0.0,2.2222222222222223,0.0,0.8259842143027984,0.0,1.210676890289103,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,2,online_randomized,Online Randomized,online,1,1275.46,0.0,19.781789965745,0.0,0.06101219803874671,0.0,16.390165116899002,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,2,online_randomized_level_greedy,CRS,online,1,1993.88,0.0,13.218964993929582,0.0,0.09537813920114806,0.0,10.484582823439725,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,2,simple_online_greedy,Simple Online Greedy,online,1,2538.0,0.0,14.086927223719677,0.0,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,2.0,1.9999722218364144,16.135669210685545,8.067834605342773
CTC-SP2-1996,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,16727.0,0.0,3.00187265917603,0.0,0.8001435063381966,0.0,1.2497758115621451,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,3,offline_greedy,Global OPT,offline,1,20905.0,0.0,nan,nan,1.0,0.0,1.0,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,16125.550000000001,0.0,3.7037037037037037,0.0,0.7713728773020809,0.0,1.2963898905773756,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,3,online_randomized,Online Randomized,online,1,976.07,0.0,28.94736842105263,0.0,0.04669074384118632,0.0,21.417521284334114,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,3,online_randomized_level_greedy,CRS,online,1,1993.8799999999999,0.0,15.224931633713972,0.0,0.09537813920114804,0.0,10.484582823439727,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,3,simple_online_greedy,Simple Online Greedy,online,1,2538.0,0.0,16.80424300867888,0.0,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,3.0,2.9999166666666666,24.203503816028316,8.067834605342773
CTC-SP2-1996,containment_quantile,4,offline_deterministic,Offline Deterministic,offline,1,15653.0,0.0,4.004016064257028,0.0,0.7487682372638125,0.0,1.3355267360889287,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,4,offline_greedy,Global OPT,offline,1,20905.0,0.0,nan,nan,1.0,0.0,1.0,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,4,offline_randomized,Offline Randomized,offline,1,15564.1,0.0,4.5400211484529445,0.0,0.7445156661085864,0.0,1.343155081244659,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,4,online_randomized,Online Randomized,online,1,667.0400000000001,0.0,53.533306977663564,0.0,0.03190815594355418,0.0,31.3399496282082,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,4,online_randomized_level_greedy,CRS,online,1,1993.88,0.0,15.222531293463144,0.0,0.09537813920114806,0.0,10.484582823439725,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,4,simple_online_greedy,Simple Online Greedy,online,1,2538.0,0.0,17.14621409921671,0.0,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,4.0,3.999833335648116,32.27133842137109,8.067834605342773
CTC-SP2-1996,containment_quantile,5,offline_deterministic,Offline Deterministic,offline,1,15553.0,0.0,5.0131578947368425,0.0,0.7439846926572591,0.0,1.3441136758181702,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,5,offline_greedy,Global OPT,offline,1,20905.0,0.0,nan,nan,1.0,0.0,1.0,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,5,offline_randomized,Offline Randomized,offline,1,15185.82,0.0,5.2631578947368425,0.0,0.726420473570916,0.0,1.3766131825610999,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,5,online_randomized,Online Randomized,online,1,558.81,0.0,98.93943899296264,0.0,0.026730925615881366,0.0,37.409853080653534,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,5,online_randomized_level_greedy,CRS,online,1,1993.88,0.0,15.507705692269452,0.0,0.09537813920114806,0.0,10.484582823439725,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,5,simple_online_greedy,Simple Online Greedy,online,1,2538.0,0.0,16.5984496124031,0.0,0.12140636211432672,0.0,8.236800630417651,0.0,71998.0,5.0,4.999722229938057,40.339173026713866,8.067834605342773
CTC-SP2-1996,containment_quantile,6,offline_deterministic,Offline Deterministic,offline,1,15215.0,0.0,6.038461538461538,0.0,0.7278163118871084,0.0,1.373973052908314,0.0,71998.0,6.0,5.9995833506937215,48.40700763205663,8.067834605342773
CTC-SP2-1996,containment_quantile,6,offline_greedy,Global OPT,offline,1,20905.0,0.0,nan,nan,1.0,0.0,1.0,0.0,71998.0,6.0,5.9995833506937215,48.40700763205663,8.067834605342773
CTC-SP2-1996,containment_quantile,6,offline_randomized,Offline Randomized,offline,1,15922.619999999997,0.0,11.11111111111111,0.0,0.7616656302320017,0.0,1.3129120710033904,0.0,71998.0,6.0,5.9995833506937215,48.40700763205663,8.067834605342773
