input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,fairness,fraction_opt,inverse_ratio,delta,num_levels
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized,randomized,100,558.81,98.93943899296264,0.026730925615881366,37.409853080653534,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized_level_greedy,randomized,100,1993.88,15.507705692269452,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,1.0,6,offline_deterministic,deterministic,1,15215,6.038461538461538,0.7278163118871084,1.373973052908314,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_randomized,randomized,100,15922.619999999997,11.11111111111111,0.7616656302320017,1.3129120710033904,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,simple_online_greedy,deterministic,1,2538,16.952380952380953,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,online_randomized,randomized,100,516.51,108.8407643312102,0.024707486247309257,40.47356295134654,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,online_randomized_level_greedy,randomized,100,1993.88,16.860851054089316,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,1.0,7,offline_deterministic,deterministic,1,15118,7.052631578947368,0.7231762736187515,1.382788728667813,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,offline_randomized,randomized,100,16208.479999999998,12.5,0.7753398708442956,1.2897569667235917,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,simple_online_greedy,deterministic,1,2538,17.875565610859727,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,online_randomized,randomized,100,472.65000000000003,126.11764705882354,0.02260942358287491,44.22934518142388,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,online_randomized_level_greedy,randomized,100,1993.88,17.775159758666238,0.09537813920114806,10.484582823439725,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,1.0,8,offline_deterministic,deterministic,1,15370,7.992094861660079,0.7352308060272662,1.360117111255693,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,offline_randomized,randomized,100,15603.289999999999,11.111111111111112,0.7463903372398947,1.3397815460713736,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,simple_online_greedy,deterministic,1,2538,18.240208877284594,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,online_randomized,randomized,100,328.44,328.90365448504986,0.01571107390576417,63.6493727925953,71998.0,17
