input_file,k,alpha,r,algorithm,algorithm_type,runs,selected,fairness,fraction_opt,inverse_ratio,delta,num_levels
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,1.0,5,offline_deterministic,deterministic,1,15553,5.0131578947368425,0.7439846926572591,1.3441136758181702,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,offline_randomized,randomized,1000,14949.405,4.975124378109452,0.7151114565893327,1.398383413921825,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,simple_online_greedy,deterministic,1,2538,16.5984496124031,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized,randomized,1000,449.16900000000004,89.6678104956792,0.021486199473810096,46.54150219627801,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_5groups.csv,5,,,online_randomized_level_greedy,randomized,1000,1889.2510000000002,17.48357083806241,0.09037316431475724,11.065231671175507,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,1.0,6,offline_deterministic,deterministic,1,15215,6.038461538461538,0.7278163118871084,1.373973052908314,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,offline_randomized,randomized,1000,15138.624,6.756756756756756,0.724162831858407,1.3809048959799781,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,simple_online_greedy,deterministic,1,2538,16.952380952380953,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,online_randomized,randomized,1000,403.68,109.95431439418313,0.01931021286773499,51.78606817281015,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_6groups.csv,6,,,online_randomized_level_greedy,randomized,1000,1889.2509999999997,18.19664031620553,0.09037316431475723,11.065231671175509,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,1.0,7,offline_deterministic,deterministic,1,15118,7.052631578947368,0.7231762736187515,1.382788728667813,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,offline_randomized,randomized,1000,15352.164999999999,8.0,0.7343776608466873,1.361697193848555,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,simple_online_greedy,deterministic,1,2538,17.875565610859727,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,online_randomized,randomized,1000,354.6719999999999,126.99244051048376,0.01696589332695527,58.941782830333395,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_7groups.csv,7,,,online_randomized_level_greedy,randomized,1000,1889.251,18.54327415433445,0.09037316431475724,11.065231671175509,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,1.0,8,offline_deterministic,deterministic,1,15370,7.992094861660079,0.7352308060272662,1.360117111255693,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,offline_randomized,randomized,1000,15114.635,8.264462809917354,0.723015307342741,1.383096581558205,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,simple_online_greedy,deterministic,1,2538,18.240208877284594,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,online_randomized,randomized,1000,285.871,151.34271254570552,0.013674766802200429,73.12738962678971,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_8groups.csv,8,,,online_randomized_level_greedy,randomized,1000,1889.2509999999997,19.772010047014877,0.09037316431475723,11.065231671175509,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,offline_greedy,deterministic,1,20905,inf,1.0,1.0,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,1.0,9,offline_deterministic,deterministic,1,15225,9.053191489361701,0.7282946663477637,1.373070607553366,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,offline_randomized,randomized,1000,15108.928000000002,9.433962264150942,0.7227423104520451,1.3836190098993124,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,simple_online_greedy,deterministic,1,2538,18.513353115727003,0.12140636211432672,8.236800630417651,71998.0,
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,online_randomized,randomized,1000,252.108,171.71220456710822,0.012059698636689787,82.92081171561394,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_containment_quantile_9groups.csv,9,,,online_randomized_level_greedy,randomized,1000,1889.2509999999997,19.696321276340793,0.09037316431475723,11.065231671175509,71998.0,17
temp\generated_intervals\CTC-SP2-1996\CTC-SP2-1996-3.1-cln_interval_exponential_10groups_seed42.csv,10,,,offline_greedy,deterministic,1,20905,3.5037593984962405,1.0,1.0,71998.0,
