dataset,algorithm,group,selected,opt,group_ratio,total_selected,fairness_ratio,global_opt_total,comp_over_global_opt,min_interval_length,max_interval_length,delta,notes
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,Single-run,1,18,18,1.000000,18,1.000000,18,1.000000,7,10927,1561.000000,alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,OLCFISAS single,1,2,18,0.111111,2,0.111111,18,0.111111,7,10927,1561.000000,seed=42 class=10 group=1
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,OLCFISAS multi avg,1,1,18,0.055556,1,0.055556,18,0.055556,7,10927,1561.000000,runs=2 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,Multi-run avg,1,18,18,1.000000,18,1.000000,18,1.000000,7,10927,1561.000000,runs=2 alpha=0.0 seed=42
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,Greedy,1,18,18,1.000000,18,1.000000,18,1.000000,7,10927,1561.000000,global offline greedy
NASA-iPSC-1993-3.1-cln_interval_5groups_first_20,BPA,1,18,18,1.000000,18,1.000000,18,1.000000,7,10927,1561.000000,k=1
