workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,min_selected,max_selected,ci95_selected,mean_fairness,min_fairness,max_fairness,ci95_fairness,mean_fraction_opt,min_fraction_opt,max_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,min_inverse_ratio,max_inverse_ratio,ci95_inverse_ratio,mean_delta,min_delta,max_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
LANL-CM5-1994,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,53467.0,53467.0,53467.0,0.0,1.9776888444222112,1.9776888444222112,1.9776888444222112,0.0,0.9042279722645019,0.9042279722645019,0.9042279722645019,0.0,1.1059157985299344,1.1059157985299344,1.1059157985299344,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,3.261881188118812,3.261881188118812,3.261881188118812,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,50198.827999999994,50198.827999999994,50198.827999999994,0.0,1.551019332070673,1.551019332070673,1.551019332070673,nan,0.8489570099780145,0.8489570099780145,0.8489570099780145,0.0,1.1779159465635334,1.1779159465635334,1.1779159465635334,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,online_randomized,Online Randomized,online,1,2567.645,2567.645,2567.645,0.0,33.377488747878004,33.377488747878004,33.377488747878004,nan,0.04342372738034839,0.04342372738034839,0.04342372738034839,0.0,23.028884444695432,23.028884444695432,23.028884444695432,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,online_randomized_level_greedy,CRS,online,1,4875.165,4875.165,4875.165,0.0,17.625567547438393,17.625567547438393,17.625567547438393,nan,0.0824482496194825,0.0824482496194825,0.0824482496194825,0.0,12.128820255314436,12.128820255314436,12.128820255314436,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,2,simple_online_greedy,Simple Online Greedy,online,1,17653.0,17653.0,17653.0,0.0,5.8792020279951505,5.8792020279951505,5.8792020279951505,0.0,0.29854557754101135,0.29854557754101135,0.29854557754101135,0.0,3.3495723106554127,3.3495723106554127,3.3495723106554127,0.0,239892.0,239892.0,239892.0,2.0,1.9999916629497319,107.23215312831297,107.23215312831297
LANL-CM5-1994,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,50595.0,50595.0,50595.0,0.0,2.9928698752228162,2.9928698752228162,2.9928698752228162,0.0,0.8556570268899036,0.8556570268899036,0.8556570268899036,0.0,1.1686925585532166,1.1686925585532166,1.1686925585532166,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,offline_greedy,Global OPT,offline,1,59130.0,59130.0,59130.0,0.0,1007.4,1007.4,1007.4,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,49067.39,49067.39,49067.39,0.0,3.1226461589964383,3.1226461589964383,3.1226461589964383,nan,0.8298222560460004,0.8298222560460004,0.8298222560460004,0.0,1.2050773436288338,1.2050773436288338,1.2050773436288338,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
LANL-CM5-1994,containment_quantile,3,online_randomized,Online Randomized,online,1,1753.0529999999999,1753.0529999999999,1753.0529999999999,0.0,47.41899825987795,47.41899825987795,47.41899825987795,nan,0.02964743784880771,0.02964743784880771,0.02964743784880771,0.0,33.72972750966457,33.72972750966457,33.72972750966457,0.0,239892.0,239892.0,239892.0,3.0,2.9999749889534546,160.84822969246946,160.84822969246946
