workload,assignment_method,k,algorithm,algorithm_label,setting,num_instances,mean_selected,min_selected,max_selected,ci95_selected,mean_fairness,min_fairness,max_fairness,ci95_fairness,mean_fraction_opt,min_fraction_opt,max_fraction_opt,ci95_fraction_opt,mean_inverse_ratio,min_inverse_ratio,max_inverse_ratio,ci95_inverse_ratio,mean_delta,min_delta,max_delta,offline_fairness_ratio,offline_approximation_ratio,online_fairness_ratio,online_approximation_ratio
SDSC-SP2-1998,containment_quantile,2,crs,CRS,online,1,1759.241,1.0,8288.0,0.0,19.404346144399053,12.54873364300848,19.404346144399053,nan,0.06904670512971467,3.92480081635857e-05,0.32528749165979826,0.0,14.482950317779087,3.074203667953668,25479.0,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,offline_deterministic,Offline Deterministic,offline,1,25479.0,25479.0,25479.0,0.0,1.7932307692307692,1.7932307692307692,1.7932307692307692,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,offline_greedy,Global OPT,offline,1,25479.0,25479.0,25479.0,0.0,1.7848101265822784,1.7848101265822784,1.7848101265822784,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,offline_randomized,Offline Randomized,offline,1,22873.962,20248.0,25479.0,0.0,1.286868290752743,1.2822182282068608,1.286868290752743,nan,0.8977574473095491,0.7946936692962833,1.0,0.0,1.1138866104612748,1.0,1.2583465033583563,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,2,online_randomized_fair,Online Randomized Fair Algorithm,online,1,894.365,0.0,7053.0,0.0,38.638842352623705,24.23412459699887,38.638842352623705,nan,0.03510204482122532,0.0,0.2768162015777699,0.0,28.48836884269845,nan,nan,0.0,510209.0,510209.0,510209.0,2.0,1.9999960800454715,113.76437293498111,113.76437293498111
SDSC-SP2-1998,containment_quantile,3,crs,CRS,online,1,1759.241,1.0,8288.0,0.0,19.335919380276465,10.569264189828997,19.335919380276465,nan,0.06904670512971467,3.92480081635857e-05,0.32528749165979826,0.0,14.482950317779087,3.074203667953668,25479.0,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,offline_deterministic,Offline Deterministic,offline,1,22063.0,22063.0,22063.0,0.0,2.9881889763779528,2.9881889763779528,2.9881889763779528,0.0,0.8659288041131913,0.8659288041131913,0.8659288041131913,0.0,1.154829352309296,1.154829352309296,1.154829352309296,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,offline_greedy,Global OPT,offline,1,25479.0,25479.0,25479.0,0.0,271.07142857142856,271.07142857142856,271.07142857142856,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,offline_randomized,Offline Randomized,offline,1,22734.53,17314.0,25479.0,0.0,3.11428055605705,1.2492250290789693,3.11428055605705,nan,0.892285019035284,0.6795400133443228,1.0,0.0,1.1207181322859985,1.0,1.4715836894998267,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
SDSC-SP2-1998,containment_quantile,3,online_randomized_fair,Online Randomized Fair Algorithm,online,1,613.004,0.0,4379.0,0.0,58.49207184452396,29.46954813359529,58.49207184452396,nan,0.024059185996310687,0.0,0.17186702774834178,0.0,41.564165976078456,nan,nan,0.0,510209.0,510209.0,510209.0,3.0,2.9999882401594635,170.64655940247167,170.64655940247167
